path,label
DataMNAs\Ahsan_Iqbal_Chaudhary\Ahsan_Iqbal_Chaudhary aggressive speech in National Assembly ã´? 13 Feb 2020.wav,Ahsan_Iqbal_Chaudhary
DataMNAs\Ahsan_Iqbal_Chaudhary\Ahsan_Iqbal_Chaudhary Complete speech in National Assembly ã´? 13 Feb 2020.wav,Ahsan_Iqbal_Chaudhary
DataMNAs\Ahsan_Iqbal_Chaudhary\Ahsan_Iqbal_Chaudhary Fiery Speech In Assembly ã´? 23 December 2021 ã´? GNN.wav,Ahsan_Iqbal_Chaudhary
DataMNAs\Ahsan_Iqbal_Chaudhary\Ahsan_Iqbal_Chaudhary Great Speech In National Assembly ã´? 25 June 2020.wav,Ahsan_Iqbal_Chaudhary
DataMNAs\Ahsan_Iqbal_Chaudhary\Ahsan_Iqbal_Chaudhary Member of the National Assembly of Pakistan ã´? Press Confer.wav,Ahsan_Iqbal_Chaudhary
DataMNAs\Ali_Pervaiz\Ali_Pervaiz Ali Pervaiz Malik Speech in National Assembly Session ã´? 27 June 2019.wav,Ali_Pervaiz
DataMNAs\Ali_Pervaiz\Ali_Pervaiz Ali_Pervaiz_Ali Pervaiz Malik Speech In National Assembly ã´? Tax Revenue Doubled.wav,Ali_Pervaiz
DataMNAs\Ali_Pervaiz\Ali_Pervaiz Malik Hard Hitting Speech On PTI Govt Performance In National Assemb.wav,Ali_Pervaiz
DataMNAs\Ali_Pervaiz\Ali_Pervaiz Pervaiz Malik MNA ali pervaiz malik national assembly ali pervaiz malik spee.wav,Ali_Pervaiz
DataMNAs\Ali_Pervaiz\Ali_Pervaiz Shazia Marri Speech in Assembly ã´? State Minister finance Ali Pervaiz Answer.wav,Ali_Pervaiz
DataMNAs\Ali_Qasim_Gillani\Ali_Qasim_Gillani_MNA Ali Qasim Gillani Speech in Assembly ã´? Newly Elected Member Syed Ali Qasim G.wav,Ali_Qasim_Gillani
DataMNAs\Ali_Qasim_Gillani\Ali_Qasim_Gillani_Newly Elected Member Syed Ali Qasim Gillani Takes Oath As MNA ã´? Syed Ali Qasim G.wav,Ali_Qasim_Gillani
"DataMNAs\Ali_Qasim_Gillani\Ali_Qasim_Gillani_Syed Ali Qasim Gillani, MNA - [The Trade Organizations (Amendment) Bill, 2025].wav",Ali_Qasim_Gillani
"DataMNAs\Ali_Qasim_Gillani\Ali_Qasim_Gillani_Syed Ali Qasim Gillani, MNA expresses his views during NA Session.wav",Ali_Qasim_Gillani
"DataMNAs\Ali_Qasim_Gillani\Ali_Qasim_Gillani_Syed Ali Qasim Gillani, MNA expresses his views during the NA Budget Session 202.wav",Ali_Qasim_Gillani
"DataMNAs\Aniqa_Mehdi\Aniqa_Mehdi_MNA, Ms. Aniqa Mehdi expresses her views during the National Assembly Budget Ses.wav",Aniqa_Mehdi
"DataMNAs\Aniqa_Mehdi\Aniqa_Mehdi_Ms. Aniqa Mehdi, MNA, expressed her views on the cut motions on Demand for Grant.wav",Aniqa_Mehdi
DataMNAs\Aniqa_Mehdi\Aniqa_Mehdi_PTI Aniqa Mehdi Hassan Bhatti Aggressive Speech In National Assembly.wav,Aniqa_Mehdi
DataMNAs\Aniqa_Mehdi\Aniqa_Mehdi_PTI Leader Aniqa Mehdi Hassan Bhatti Emotional Speech In National Assembly ã´? GNN.wav,Aniqa_Mehdi
DataMNAs\Aniqa_Mehdi\Aniqa_Mehdi_???ù PTI MNA Aniqa Mehdi Hassan Bhatti Fiery Speech in National Assembly! ???ù.wav,Aniqa_Mehdi
"DataMNAs\Attaullah_Tarar\Attaullah_Tarar_Minister for Information & Broadcasting, Mr. Attaullah Tarar expresses his views.wav",Attaullah_Tarar
DataMNAs\Attaullah_Tarar\Attaullah_Tarar_MNA NA-127 Mr. Attaullah Tarar expresses views during National Assembly Session.wav,Attaullah_Tarar
DataMNAs\Attaullah_Tarar\Attaullah_Tarar_MÉ??O Information & Broadcasting MNA Mr. Attaullah Tarar expresses views in Nation.wav,Attaullah_Tarar
DataMNAs\Attaullah_Tarar\Attaullah_Tarar_MÉ??O Information & Broadcasting Mr. Attaullah Tarar expresses views during Nation.wav,Attaullah_Tarar
DataMNAs\Attaullah_Tarar\Attaullah_Tarar_MÉ??O Information and Broadcasting Mr. Attaullah Tarar expresses views in National.wav,Attaullah_Tarar
DataMNAs\Ayesha_Nazir\Ayesha_Nazir_Ayesha Nazir Jutt MNA  NA156 Burewala Vehari #ptiofficial National assembly of P.wav,Ayesha_Nazir
DataMNAs\Ayesha_Nazir\Ayesha_Nazir_Ayesha nazir MNA national assembly of Pakistan speech general Discussion on the .wav,Ayesha_Nazir
"DataMNAs\Ayesha_Nazir\Ayesha_Nazir_MNA, MS. Ayesha Nazir expresses views on the amendments on the Finance Bill, 202.wav",Ayesha_Nazir
DataMNAs\Ayesha_Nazir\Ayesha_Nazir_PTI MNA Ayesha Nazir Jatt's Shocking & Fiery Speech in National Assembly ã´? Must .wav,Ayesha_Nazir
DataMNAs\Ayesha_Nazir\Ayesha_Nazir_PTI MNA Ayesha Nazir Jutt Speech at National Assembly PTI Imran Khan.wav,Ayesha_Nazir
DataMNAs\Ehsan_ul_Haq_Bajwa\Ehsan_ul_Haq_Bajwa_Choudhry Ehsan U Haq Bajwa Sensational & Historic Speech In National Assembly 19.wav,Ehsan_ul_Haq_Bajwa
DataMNAs\Ehsan_ul_Haq_Bajwa\Ehsan_ul_Haq_Bajwa_Ehsan Ul Haq Bajwa Speech ã´?ã´? National Assembly ã´?ã´? 16 June 2022 ã´?ã´?.wav,Ehsan_ul_Haq_Bajwa
DataMNAs\Ehsan_ul_Haq_Bajwa\Ehsan_ul_Haq_Bajwa_MNA Ehsan Ul Haq Bajwa farewell speech during NA Session ã´? National Assembly of .wav,Ehsan_ul_Haq_Bajwa
"DataMNAs\Ehsan_ul_Haq_Bajwa\Ehsan_ul_Haq_Bajwa_Parliamentary Secretary, Mr Ehsan-ul-Haq Bajwa expresses his views during the NA.wav",Ehsan_ul_Haq_Bajwa
DataMNAs\Ehsan_ul_Haq_Bajwa\Ehsan_ul_Haq_Bajwa_PMLN Chaudhry Ehsan Ul Haq Bajwa Sensational & Emotional Speech In National Asse.wav,Ehsan_ul_Haq_Bajwa
DataMNAs\Ghous_Muhammad\Ghous_Muhammad_GDA Ghous bux mahar Speech in national Assembly ã´? 16 April 2022 ã´? Daily Qudrat.wav,Ghous_Muhammad
"DataMNAs\Ghous_Muhammad\Ghous_Muhammad_Mian Ghous Muhammad, MNA expresses his views during NA Session.wav",Ghous_Muhammad
"DataMNAs\Ghous_Muhammad\Ghous_Muhammad_Mian Ghous Muhammad, MNA, expressed his views on the cut motions on the Demand f.wav",Ghous_Muhammad
"DataMNAs\Ghous_Muhammad\Ghous_Muhammad_MNA, Mian Ghous Muhammad expresses his views during National Assembly Budget Ses.wav",Ghous_Muhammad
"DataMNAs\Ghous_Muhammad\Ghous_Muhammad_There is no opposition leader in National Assembly, how this crisis will be solv.wav",Ghous_Muhammad
DataMNAs\Imran_Ahmad_Shah\Imran_Ahmad_Shah_PMLN Imran Ahmad Shah Historic Speech In National Assembly.wav,Imran_Ahmad_Shah
DataMNAs\Imran_Ahmad_Shah\Imran_Ahmad_Shah_PMLN MNA Sayyed Imran Ahmad Shah Sensational Speech In National Assembly ã´? 22 Ju.wav,Imran_Ahmad_Shah
DataMNAs\Imran_Ahmad_Shah\Imran_Ahmad_Shah_PMLN Sayed Imran Ahmad Shah Emotional Speech In National Assembly.wav,Imran_Ahmad_Shah
DataMNAs\Imran_Ahmad_Shah\Imran_Ahmad_Shah_Syed Imran Ahmad Shah MNA Speech In National Assembly.wav,Imran_Ahmad_Shah
DataMNAs\Imran_Ahmad_Shah\Imran_Ahmad_Shah_Syed Imran Ahmed Shah ã´? National Assembly of Pakistan ã´? MNA Sahiwal ã´? 24 June 20.wav,Imran_Ahmad_Shah
DataMNAs\Khawaja_Muhammad_Asif\Khawaja_Muhammad_Asif_Minister for Defence Khawaja Muhammad Asif expresses his views in the National A.wav,Khawaja_Muhammad_Asif
DataMNAs\Khawaja_Muhammad_Asif\Khawaja_Muhammad_Asif_Minister for Defense Khawaja Asif expresses views on PTI Long Marchã´? National As.wav,Khawaja_Muhammad_Asif
DataMNAs\Khawaja_Muhammad_Asif\Khawaja_Muhammad_Asif_Minister for Defense Khawaja Muhammad Asif budget speech  ã´? National Assembly of.wav,Khawaja_Muhammad_Asif
DataMNAs\Khawaja_Muhammad_Asif\Khawaja_Muhammad_Asif_MÉ??o Defense Khawaja Muhammad Asif expresses views during NA Session  ã´? National .wav,Khawaja_Muhammad_Asif
DataMNAs\Khawaja_Muhammad_Asif\Khawaja_Muhammad_Asif_MÉ??O Defense Khawaja Muhammad Asif expresses views in National Assembly Session.wav,Khawaja_Muhammad_Asif
DataMNAs\Mohammad_Riaz_Fatyana\Mohammad_Riaz_Fatyana_MNA Mr. Mohammad Riaz Fatyana expressed views on cut motions regarding Human Rig.wav,Mohammad_Riaz_Fatyana
